Route;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
N1;253287;277953;303423;327546;374509;430316;440881;463458;442638;424815;463046;488543;501531;495227
N453;0;0;0;11621;294169;309792;423084;435146;453149;464978;466633;471926;476359;493118
397;22004;273525;309818;347475;335329;328992;353231;389681;430047;465010;469822;482473;509955;492398
15H;0;0;0;0;0;0;213955;665779;683532;700865;760673;665364;578363;472677
K4;268125;313089;316891;298940;296611;279419;340925;341983;362820;399850;461722;472777;475903;471791
N109;305954;0;0;0;0;0;0;0;0;0;0;242285;465878;464861
N6;82658;75596;124468;199882;276102;351640;413069;413280;420137;212570;363097;432482;468185;463934
T31;0;1140571;1344261;1353198;1319535;0;0;0;0;0;0;0;0;455684
N136;0;0;0;0;0;0;0;0;55603;407308;432046;430791;459794;452628
N16;377756;432958;536794;452898;328152;333394;349851;346890;360903;348909;384533;406168;442007;450520
N134;200939;181141;291690;366913;435025;447476;538585;522721;496822;278337;363246;460625;466272;446846
N3;313231;341630;330478;319795;379245;386434;391960;422369;403709;400205;398313;405789;443073;442948
424;0;0;373217;451853;455191;457915;460311;475849;441059;467535;470728;455923;464836;442579
246;0;0;0;207117;289252;366617;359714;341331;356450;405667;428605;443680;455595;440653
9H;0;0;0;0;0;0;219764;621552;609253;550087;603695;530331;515214;435672
N53;387148;432155;435781;410867;294477;355343;402831;396018;411167;390422;378926;396156;412393;429594
N63;0;0;0;44497;206180;253304;299739;282140;291928;336915;359670;379400;388194;405608
N55;0;0;134344;160385;204270;281425;331691;341360;430269;446164;435060;409537;410977;398582
N20;265616;314735;318857;291272;330165;350888;397085;390859;394243;372560;396386;405651;419877;395037
N44;109890;117899;126488;138211;182214;277813;312696;322922;322189;334008;351672;371911;393919;394754
N97;596162;637118;504123;407387;442739;480072;429847;405273;402644;386902;438974;412400;360935;390037
398;239015;235441;322916;421363;434407;420686;438167;483480;513797;548118;402094;335840;368070;388983
N11;182337;183178;229405;315434;359526;395269;429356;479992;424841;369083;392386;413241;419498;386083
R3;616543;648815;545975;412561;425792;399579;377111;328931;334844;379070;374986;342892;363430;381991
N149;0;54213;115485;130319;172393;156584;411934;423677;441206;452723;454334;384787;324466;371520
R2;231434;215793;249993;380366;353997;315996;339524;334333;327297;367133;373955;367005;386972;369456
N176;173070;210383;212410;277236;167752;16737;5966;8893;214547;156916;326283;391795;374879;369204
N205;0;0;0;0;0;0;0;0;203689;213206;278632;369616;371442;367967
